,#,time,type,order_num,lot,price,s/l,t/p,profit,sum,index,part_sum
0,1,2015.01.05 00:25,sell,1,1,0.9573,0.9775,0,0,10000,0,0
1,2,2015.01.05 00:28,close,1,1,0.9558,0.9775,0,112.16,10112.16,0,112.16
2,9,2015.01.12 00:00,sell,5,1.02,0.97319,0.99339,0,0,10144.79,8,112.16
3,11,2015.01.12 02:15,close,5,1.02,0.97348,0.99339,0,-22.12,10122.67,8,90.04
4,10,2015.01.12 00:09,sell,6,1.4,0.97369,0.99389,0,0,10144.79,9,90.04
5,12,2015.01.12 02:15,close,6,1.4,0.9735,0.99389,0,19.89,10142.56,9,109.93
6,13,2015.01.20 22:45,sell,7,1.02,0.9897,1.0099,0,0,10142.56,12,109.93
7,15,2015.01.20 23:50,close,7,1.02,0.98907,1.0099,0,48.05,10190.61,12,157.98
8,14,2015.01.20 23:37,sell,8,1.4,0.99037,1.01057,0,0,10142.56,13,157.98
9,16,2015.01.20 23:50,close,8,1.4,0.98909,1.01057,0,133.99,10324.6,13,291.97
10,25,2015.01.26 23:04,sell,13,1.02,0.98744,1.00764,0,0,10152.82,24,291.97
11,27,2015.01.27 00:38,close,13,1.02,0.98744,1.00764,0,-4.49,10148.33,24,287.48
12,26,2015.01.26 23:09,sell,14,1.4,0.98794,1.00814,0,0,10152.82,25,287.48
13,28,2015.01.27 00:38,close,14,1.4,0.98745,1.00814,0,45.12,10193.45,25,332.6
14,35,2015.02.04 22:00,sell,18,1.03,0.97753,0.99773,0,0,10276.07,34,332.6
15,36,2015.02.04 22:46,close,18,1.03,0.97603,0.99773,0,115.52,10391.59,34,448.12
16,39,2015.02.19 00:25,sell,20,1.03,0.97328,0.99348,0,0,10225.92,38,448.12
17,40,2015.02.19 01:46,close,20,1.03,0.9726,0.99348,0,52.37,10278.29,38,500.49
18,41,2015.02.23 00:10,sell,21,1.03,0.98301,1.00321,0,0,10278.29,40,500.49
19,42,2015.02.23 02:57,close,21,1.03,0.98265,1.00321,0,27.73,10306.02,40,528.22
20,49,2015.03.05 22:00,sell,25,1.03,0.97235,0.99255,0,0,10234.69,48,528.22
21,50,2015.03.05 23:44,close,25,1.03,0.9717,0.99255,0,50.06,10284.75,48,578.28
22,51,2015.03.10 23:30,sell,26,1.03,0.96699,0.98719,0,0,10284.75,50,578.28
23,52,2015.03.11 03:00,close,26,1.03,0.96855,0.98719,0,-124.68,10160.07,50,453.6
24,53,2015.03.17 22:00,sell,27,1.02,0.97407,0.99427,0,0,10160.07,52,453.6
25,54,2015.03.17 22:30,close,27,1.02,0.97321,0.99427,0,65.59,10225.66,52,519.19
26,55,2015.03.23 00:20,sell,28,1.03,0.97859,0.99879,0,0,10225.66,54,519.19
27,56,2015.03.23 02:09,close,28,1.03,0.97832,0.99879,0,20.79,10246.45,54,539.98
28,57,2015.03.23 22:35,sell,29,1.03,0.98624,1.00644,0,0,10246.45,56,539.98
29,59,2015.03.24 00:10,close,29,1.03,0.986,1.00644,0,13.94,10260.39,56,553.92
30,58,2015.03.23 22:38,sell,30,1.41,0.98677,1.00697,0,0,10246.45,57,553.92
31,60,2015.03.24 00:10,close,30,1.41,0.98606,1.00697,0,68.65,10329.04,57,622.57
32,79,2015.04.20 00:00,sell,40,1.03,0.95531,0.97551,0,0,10312.55,78,622.57
33,80,2015.04.20 00:46,close,40,1.03,0.95377,0.97551,0,118.61,10431.16,78,741.18
34,93,2015.04.30 22:07,sell,47,1.04,0.95701,0.97721,0,0,10424.74,92,741.18
35,95,2015.04.30 22:45,close,47,1.04,0.95562,0.97721,0,108.09,10532.83,92,849.27
36,94,2015.04.30 22:13,sell,48,1.44,0.95751,0.97771,0,0,10424.74,93,849.27
37,96,2015.04.30 22:45,close,48,1.44,0.95559,0.97771,0,206.74,10739.57,93,1056.01
38,117,2015.06.09 22:25,sell,59,1.13,0.94835,0.96855,0,0,11268.25,116,1056.01
39,118,2015.06.09 23:29,close,59,1.13,0.94779,0.96855,0,47.32,11315.57,116,1103.33
40,125,2015.06.17 22:00,sell,63,1.15,0.94852,0.96872,0,0,11508.94,124,1103.33
41,127,2015.06.17 22:57,close,63,1.15,0.94695,0.96872,0,135.01,11643.95,124,1238.34
42,126,2015.06.17 22:14,sell,64,1.59,0.94903,0.96923,0,0,11508.94,125,1238.34
43,128,2015.06.17 22:57,close,64,1.59,0.94694,0.96923,0,248.48,11892.43,125,1486.82
44,155,2015.07.29 00:20,sell,78,1.29,0.94907,0.96927,0,0,12875.23,154,1486.82
45,157,2015.07.29 03:00,close,78,1.29,0.95005,0.96927,0,-94.53,12780.7,154,1392.29
46,156,2015.07.29 00:23,sell,79,1.78,0.94957,0.96977,0,0,12875.23,155,1392.29
47,158,2015.07.29 03:00,close,79,1.78,0.95006,0.96977,0,-65.22,12715.48,155,1327.07
48,159,2015.08.03 22:41,sell,80,1.27,0.95661,0.97681,0,0,12715.48,158,1327.07
49,161,2015.08.04 00:41,close,80,1.27,0.95746,0.97681,0,-86.32,12629.16,158,1240.75
50,160,2015.08.03 22:53,sell,81,1.75,0.95711,0.97731,0,0,12715.48,159,1240.75
51,162,2015.08.04 00:41,close,81,1.75,0.95748,0.97731,0,-56.12,12573.04,159,1184.63
52,165,2015.08.10 00:00,sell,83,1.27,0.97206,0.99226,0,0,12666.33,164,1184.63
53,167,2015.08.10 02:59,close,83,1.27,0.97286,0.99226,0,-75.97,12590.36,164,1108.66
54,166,2015.08.10 00:09,sell,84,1.75,0.97256,0.99276,0,0,12666.33,165,1108.66
55,168,2015.08.10 02:59,close,84,1.75,0.97284,0.99276,0,-36.64,12553.72,165,1072.02
56,183,2015.08.26 22:11,sell,92,1.24,0.94832,0.96852,0,0,12423.46,182,1072.02
57,185,2015.08.26 23:15,close,92,1.24,0.94668,0.96852,0,152.06,12575.52,182,1224.08
58,184,2015.08.26 22:51,sell,93,1.71,0.94884,0.96904,0,0,12423.46,183,1224.08
59,186,2015.08.26 23:15,close,93,1.71,0.94662,0.96904,0,283.86,12859.38,183,1507.94
60,191,2015.09.03 01:25,sell,96,1.27,0.93511,0.95531,0,0,12721.39,190,1507.94
61,192,2015.09.03 02:53,close,96,1.27,0.93458,0.95531,0,50.33,12771.72,190,1558.27
62,195,2015.09.09 01:55,sell,98,1.29,0.92882,0.94902,0,0,12853.09,194,1558.27
63,196,2015.09.09 03:00,close,98,1.29,0.9288,0.94902,0,1.92,12855.01,194,1560.19
64,197,2015.09.15 22:20,sell,99,1.29,0.94567,0.96587,0,0,12855.01,196,1560.19
65,199,2015.09.16 00:10,close,99,1.29,0.9455,0.96587,0,10.72,12865.73,196,1570.91
66,198,2015.09.15 22:26,sell,100,1.77,0.94618,0.96638,0,0,12855.01,197,1570.91
67,200,2015.09.16 00:10,close,100,1.77,0.94554,0.96638,0,76.9,12942.63,197,1647.81
68,201,2015.09.17 22:00,sell,101,1.3,0.9499,0.9701,0,0,12942.63,200,1647.81
69,202,2015.09.17 22:08,close,101,1.3,0.94838,0.9701,0,147.75,13090.38,200,1795.56
70,215,2015.10.06 22:40,sell,108,1.34,0.93485,0.95505,0,0,13352.7,214,1795.56
71,216,2015.10.06 23:40,close,108,1.34,0.93387,0.95505,0,98.19,13450.89,214,1893.75
72,221,2015.10.14 22:19,sell,111,1.28,0.94459,0.96479,0,0,12811.66,220,1893.75
73,222,2015.10.15 00:36,close,111,1.28,0.94393,0.96479,0,46.25,12857.91,220,1940
74,237,2015.11.02 23:30,sell,119,1.38,0.93603,0.95623,0,0,13769.74,236,1940
75,238,2015.11.03 00:32,close,119,1.38,0.93561,0.95623,0,37.26,13807,236,1977.26
76,239,2015.11.03 01:47,sell,120,1.38,0.9373,0.9575,0,0,13807,238,1977.26
77,240,2015.11.03 03:00,close,120,1.38,0.93797,0.9575,0,-69.13,13737.87,238,1908.13
78,245,2015.11.10 23:35,sell,123,1.36,0.93309,0.95329,0,0,13566.66,244,1908.13
79,247,2015.11.11 03:00,close,123,1.36,0.93502,0.95329,0,-202.25,13364.41,244,1705.88
80,246,2015.11.11 01:50,sell,124,1.86,0.9345,0.9547,0,0,13566.66,245,1705.88
81,248,2015.11.11 03:00,close,124,1.86,0.93503,0.9547,0,-73.71,13290.7,245,1632.17
82,253,2015.11.24 23:05,sell,127,1.35,0.96422,0.98442,0,0,13461.2,252,1632.17
83,255,2015.11.25 01:30,close,127,1.35,0.96544,0.98442,0,-129.1,13332.1,252,1503.07
84,254,2015.11.24 23:13,sell,128,1.86,0.96472,0.98492,0,0,13461.2,253,1503.07
85,256,2015.11.25 01:30,close,128,1.86,0.96543,0.98492,0,-106.94,13225.16,253,1396.13
86,263,2015.12.01 22:00,sell,132,1.33,0.98088,1.00108,0,0,13314.94,262,1396.13
87,264,2015.12.01 22:33,close,132,1.33,0.97983,1.00108,0,104.43,13419.37,262,1500.56
88,269,2015.12.09 00:10,sell,135,1.37,0.9804,1.0006,0,0,13636.43,268,1500.56
89,271,2015.12.09 01:37,close,135,1.37,0.98022,1.0006,0,18.44,13654.87,268,1519
90,270,2015.12.09 00:13,sell,136,1.88,0.9809,1.0011,0,0,13636.43,269,1519
91,272,2015.12.09 01:37,close,136,1.88,0.98018,1.0011,0,101.21,13756.08,269,1620.21
92,273,2015.12.09 22:15,sell,137,1.38,0.98205,1.00225,0,0,13756.08,272,1620.21
93,274,2015.12.09 22:55,close,137,1.38,0.9808,1.00225,0,128.98,13885.06,272,1749.19
94,279,2015.12.15 22:31,sell,140,1.42,0.9888,1.009,0,0,14135.81,278,1749.19
95,280,2015.12.15 23:45,close,140,1.42,0.9881,1.009,0,74.32,14210.13,278,1823.51
96,285,2015.12.23 22:00,sell,143,1.45,1.00325,1.02345,0,0,14473.42,284,1823.51
97,287,2015.12.23 23:37,close,143,1.45,1.00289,1.02345,0,39.03,14512.45,284,1862.54
98,286,2015.12.23 22:06,sell,144,2,1.00375,1.02395,0,0,14473.42,285,1862.54
99,288,2015.12.23 23:37,close,144,2,1.0029,1.02395,0,127.12,14639.57,285,1989.66
100,291,2015.12.30 22:00,sell,146,1.48,1.01277,1.03297,0,0,14725.32,290,1989.66
101,292,2015.12.30 23:01,close,146,1.48,1.01187,1.03297,0,99.6,14824.92,290,2089.26
102,297,2016.01.04 01:00,sell,149,1.5,1.01155,1.03175,0,0,14998.92,296,2089.26
103,298,2016.01.04 01:17,close,149,1.5,1.01003,1.03175,0,170.49,15169.41,296,2259.75
104,301,2016.01.05 22:30,sell,151,1.53,1.00208,1.02228,0,0,15278.54,300,2259.75
105,302,2016.01.05 23:35,close,151,1.53,1.0009,1.02228,0,134.99,15413.53,300,2394.74
106,303,2016.01.07 23:50,sell,152,1.54,0.98853,1.00873,0,0,15413.53,302,2394.74
107,305,2016.01.08 01:50,close,152,1.54,0.98923,1.00873,0,-87.39,15326.14,302,2307.35
108,304,2016.01.07 23:55,sell,153,2.13,0.98903,1.00923,0,0,15413.53,303,2307.35
109,306,2016.01.08 01:50,close,153,2.13,0.98925,1.00923,0,-44.42,15281.72,303,2262.93
110,307,2016.01.18 00:08,sell,154,1.53,0.99915,1.01935,0,0,15281.72,306,2262.93
111,309,2016.01.18 02:41,close,154,1.53,0.99906,1.01935,0,10.3,15292.02,306,2273.23
112,308,2016.01.18 00:11,sell,155,2.11,0.99969,1.01989,0,0,15281.72,307,2273.23
113,310,2016.01.18 02:41,close,155,2.11,0.99905,1.01989,0,100.97,15392.99,307,2374.2
114,311,2016.01.19 23:00,sell,156,1.54,1.00755,1.02775,0,0,15392.99,310,2374.2
115,312,2016.01.19 23:45,close,156,1.54,1.00651,1.02775,0,119.76,15512.75,310,2493.96
116,313,2016.01.21 22:48,sell,157,1.55,1.00075,1.02095,0,0,15512.75,312,2493.96
117,315,2016.01.21 23:43,close,157,1.55,0.99933,1.02095,0,164.58,15677.33,312,2658.54
118,314,2016.01.21 22:55,sell,158,2.14,1.00125,1.02145,0,0,15512.75,313,2658.54
119,316,2016.01.21 23:43,close,158,2.14,0.99931,1.02145,0,310.43,15987.76,313,2968.97
120,317,2016.01.26 23:55,sell,159,1.6,0.98936,1.00956,0,0,15987.76,316,2968.97
121,318,2016.01.27 00:05,close,159,1.6,0.98777,1.00956,0,183.17,16170.93,316,3152.14
122,329,2016.02.16 22:47,sell,165,1.66,0.98639,1.00659,0,0,16578.43,328,3152.14
123,330,2016.02.17 00:00,close,165,1.66,0.98563,1.00659,0,87.02,16665.45,328,3239.16
124,331,2016.02.17 22:26,sell,166,1.67,0.98489,1.00509,0,0,16665.45,330,3239.16
125,333,2016.02.17 23:05,close,166,1.67,0.98371,1.00509,0,147.35,16812.8,330,3386.51
126,332,2016.02.17 22:32,sell,167,2.3,0.9854,1.0056,0,0,16665.45,331,3386.51
127,334,2016.02.17 23:06,close,167,2.3,0.98369,1.0056,0,294.08,17106.88,331,3680.59
128,335,2016.02.18 22:00,sell,168,1.71,0.98343,1.00363,0,0,17106.88,334,3680.59
129,336,2016.02.18 22:53,close,168,1.71,0.98206,1.00363,0,175.18,17282.06,334,3855.77
130,341,2016.02.29 01:35,sell,171,1.77,0.9649,0.9851,0,0,17715.82,340,3855.77
131,343,2016.02.29 02:10,close,171,1.77,0.96375,0.9851,0,152.2,17868.02,340,4007.97
132,342,2016.02.29 01:50,sell,172,2.44,0.96543,0.98563,0,0,17715.82,341,4007.97
133,344,2016.02.29 02:10,close,172,2.44,0.96373,0.98563,0,310.16,18178.18,341,4318.13
134,347,2016.02.29 23:30,sell,174,1.84,0.96672,0.98692,0,0,18363.3,346,4318.13
135,348,2016.03.01 00:55,close,174,1.84,0.9662,0.98692,0,63.44,18426.74,346,4381.57
136,349,2016.03.01 23:30,sell,175,1.85,0.96335,0.98355,0,0,18426.74,348,4381.57
137,350,2016.03.01 23:54,close,175,1.85,0.96237,0.98355,0,135.56,18562.3,348,4517.13
138,367,2016.05.23 22:05,sell,184,1.91,0.94855,0.96875,0,0,19107.63,366,4517.13
139,369,2016.05.24 00:46,close,184,1.91,0.94902,0.96875,0,-75.55,19032.08,366,4441.58
140,368,2016.05.23 22:34,sell,185,2.63,0.94906,0.96926,0,0,19107.63,367,4441.58
141,370,2016.05.24 00:47,close,185,2.63,0.949,0.96926,0,0.21,19032.29,367,4441.79
142,389,2016.06.13 23:53,sell,195,2,0.94668,0.96688,0,0,19954.18,388,4441.79
143,391,2016.06.14 01:21,close,195,2,0.9466,0.96688,0,3.16,19957.34,388,4444.95
144,390,2016.06.13 23:57,sell,196,2.74,0.94749,0.96769,0,0,19954.18,389,4444.95
145,392,2016.06.14 01:21,close,196,2.74,0.94659,0.96769,0,172.32,20129.66,389,4617.27
146,393,2016.06.20 00:05,sell,197,2.02,0.95435,0.97455,0,0,20129.66,392,4617.27
147,395,2016.06.20 01:05,close,197,2.02,0.95323,0.97455,0,169.17,20298.83,392,4786.44
148,394,2016.06.20 00:08,sell,198,2.78,0.95485,0.97505,0,0,20129.66,393,4786.44
149,396,2016.06.20 01:05,close,198,2.78,0.95328,0.97505,0,326.36,20625.19,393,5112.8
150,411,2016.07.05 22:00,sell,206,2.19,0.96864,0.98884,0,0,21833.87,410,5112.8
151,413,2016.07.06 00:00,close,206,2.19,0.96824,0.98884,0,55.85,21889.72,410,5168.65
152,412,2016.07.05 22:31,sell,207,3.01,0.96914,0.98934,0,0,21833.87,411,5168.65
153,414,2016.07.06 00:00,close,207,3.01,0.9683,0.98934,0,175.8,22065.52,411,5344.45
154,423,2016.07.20 01:55,sell,212,2.24,0.97842,0.99862,0,0,22335.34,422,5344.45
155,424,2016.07.20 02:55,close,212,2.24,0.97815,0.99862,0,45.22,22380.56,422,5389.67
156,429,2016.07.21 22:00,sell,215,2.32,0.98009,1.00029,0,0,23187.18,428,5389.67
157,431,2016.07.21 23:29,close,215,2.32,0.98022,1.00029,0,-22.55,23164.63,428,5367.12
158,430,2016.07.21 22:13,sell,216,3.2,0.9806,1.0008,0,0,23187.18,429,5367.12
159,432,2016.07.21 23:29,close,216,3.2,0.98019,1.0008,0,98.11,23262.74,429,5465.23
160,453,2016.08.15 01:50,sell,227,2.44,0.99278,1.01298,0,0,24376.3,452,5465.23
161,454,2016.08.15 02:36,close,227,2.44,0.9919,1.01298,0,160.56,24536.86,452,5625.79
162,455,2016.08.16 01:35,sell,228,2.46,0.99244,1.01264,0,0,24536.86,454,5625.79
163,456,2016.08.16 02:20,close,228,2.46,0.99205,1.01264,0,71.74,24608.6,454,5697.53
164,457,2016.08.22 01:50,sell,229,2.46,0.9814,1.0016,0,0,24608.6,456,5697.53
165,458,2016.08.22 02:46,close,229,2.46,0.98084,1.0016,0,103.01,24711.61,456,5800.54
166,465,2016.09.06 01:20,sell,233,2.5,0.98068,1.00088,0,0,25021.73,464,5800.54
167,466,2016.09.06 03:00,close,233,2.5,0.98165,1.00088,0,-181.33,24840.4,464,5619.21
168,467,2016.09.06 22:35,sell,234,2.49,0.98651,1.00671,0,0,24840.4,466,5619.21
169,469,2016.09.07 01:11,close,234,2.49,0.98673,1.00671,0,-51.93,24788.47,466,5567.28
170,468,2016.09.06 22:58,sell,235,3.42,0.98701,1.00721,0,0,24840.4,467,5567.28
171,470,2016.09.07 01:11,close,235,3.42,0.98676,1.00721,0,48.86,24837.33,467,5616.14
172,471,2016.09.15 22:00,sell,236,2.49,0.98862,1.00882,0,0,24837.33,470,5616.14
173,473,2016.09.15 23:50,close,236,2.49,0.98808,1.00882,0,100.54,24937.87,470,5716.68
174,472,2016.09.15 22:05,sell,237,3.42,0.98913,1.00933,0,0,24837.33,471,5716.68
175,474,2016.09.15 23:50,close,237,3.42,0.98809,1.00933,0,265.95,25203.82,471,5982.63
176,477,2016.09.26 22:00,sell,239,2.54,1.01029,1.03049,0,0,25407.36,476,5982.63
177,478,2016.09.26 23:30,close,239,2.54,1.01008,1.03049,0,39.88,25447.24,476,6022.51
178,489,2016.10.04 01:08,sell,245,2.61,1.00812,1.02832,0,0,26124.38,488,6022.51
179,490,2016.10.04 03:00,close,245,2.61,1.00798,1.02832,0,27.32,26151.7,488,6049.83
180,493,2016.10.18 00:45,sell,247,2.63,1.00304,1.02324,0,0,26235.96,492,6049.83
181,494,2016.10.18 00:46,close,247,2.63,1.00153,1.02324,0,296.95,26532.91,492,6346.78
182,499,2016.10.25 22:07,sell,250,2.61,1.02082,1.04102,0,0,26107.09,498,6346.78
183,500,2016.10.25 23:05,close,250,2.61,1.02038,1.04102,0,85.87,26192.96,498,6432.65
184,507,2016.11.07 23:20,sell,254,2.67,1.03252,1.05272,0,0,26686.87,506,6432.65
185,509,2016.11.08 00:26,close,254,2.67,1.03195,1.05272,0,102.04,26788.91,506,6534.69
186,508,2016.11.07 23:29,sell,255,3.68,1.03304,1.05324,0,0,26686.87,507,6534.69
187,510,2016.11.08 00:26,close,255,3.68,1.03197,1.05324,0,278.22,27067.13,507,6812.91
188,511,2016.11.08 22:35,sell,256,2.71,1.03316,1.05336,0,0,27067.13,510,6812.91
189,513,2016.11.08 23:36,close,256,2.71,1.03265,1.05336,0,103.34,27170.47,510,6916.25
190,512,2016.11.08 22:52,sell,257,3.73,1.03367,1.05387,0,0,27067.13,511,6916.25
191,514,2016.11.08 23:36,close,257,3.73,1.03263,1.05387,0,290.07,27460.54,511,7206.32
192,523,2016.11.16 23:58,sell,262,2.82,1.00601,1.02621,0,0,28147.8,522,7206.32
193,525,2016.11.17 01:16,close,262,2.82,1.00541,1.02621,0,89.24,28237.04,522,7295.56
194,524,2016.11.17 00:45,sell,263,3.87,1.0066,1.0268,0,0,28147.8,523,7295.56
195,526,2016.11.17 01:16,close,263,3.87,1.00538,1.0268,0,353.04,28590.08,523,7648.6
196,527,2016.11.17 23:35,sell,264,2.86,1.00283,1.02303,0,0,28590.08,526,7648.6
197,528,2016.11.17 23:59,close,264,2.86,1.00132,1.02303,0,322.91,28912.99,526,7971.51
198,535,2016.11.29 22:40,sell,268,2.97,1.00504,1.02524,0,0,29710.62,534,7971.51
199,537,2016.11.29 23:59,close,268,2.97,1.00463,1.02524,0,91.05,29801.67,534,8062.56
200,536,2016.11.29 23:14,sell,269,4.1,1.00554,1.02574,0,0,29710.62,535,8062.56
201,538,2016.11.29 23:59,close,269,4.1,1.00458,1.02574,0,294.31,30095.98,535,8356.87
202,539,2016.12.06 22:00,sell,270,3.01,0.99104,1.01124,0,0,30095.98,538,8356.87
203,540,2016.12.06 23:25,close,270,3.01,0.99076,1.01124,0,63.02,30159,538,8419.89
204,541,2016.12.07 01:41,sell,271,3.02,0.99151,1.01171,0,0,30159,540,8419.89
205,543,2016.12.07 02:29,close,271,3.02,0.99092,1.01171,0,133.23,30292.23,540,8553.12
206,542,2016.12.07 01:58,sell,272,4.16,0.99202,1.01222,0,0,30159,541,8553.12
207,544,2016.12.07 02:29,close,272,4.16,0.99088,1.01222,0,354.61,30646.84,541,8907.73
208,561,2016.12.22 22:47,sell,281,3.28,0.97332,0.99352,0,0,32766.83,560,8907.73
209,562,2016.12.22 23:35,close,281,3.28,0.97271,0.99352,0,149.6,32916.43,560,9057.33
210,563,2016.12.27 23:48,sell,282,3.29,0.97546,0.99566,0,0,32916.43,562,9057.33
211,564,2016.12.27 23:59,close,282,3.29,0.97424,0.99566,0,300.13,33216.56,562,9357.46
212,565,2016.12.29 23:41,sell,283,3.32,0.97447,0.99467,0,0,33216.56,564,9357.46
213,566,2016.12.30 03:00,close,283,3.32,0.97544,0.99467,0,-255.43,32961.13,564,9102.03
214,569,2017.01.04 23:00,sell,285,3.31,0.96895,0.98915,0,0,33099.34,568,9102.03
215,570,2017.01.05 00:00,close,285,3.31,0.96798,0.98915,0,196.33,33295.67,568,9298.36
216,571,2017.01.05 22:36,sell,286,3.33,0.97192,0.99212,0,0,33295.67,570,9298.36
217,572,2017.01.05 23:40,close,286,3.33,0.97153,0.99212,0,97.11,33392.78,570,9395.47
218,575,2017.01.10 23:15,sell,288,3.37,0.97495,0.99515,0,0,33685.04,574,9395.47
219,577,2017.01.11 00:00,close,288,3.37,0.97443,0.99515,0,116.18,33801.22,574,9511.65
220,576,2017.01.10 23:45,sell,289,4.64,0.97547,0.99567,0,0,33685.04,575,9511.65
221,578,2017.01.11 00:00,close,289,4.64,0.97445,0.99567,0,333.45,34134.67,575,9845.1
222,581,2017.01.25 23:25,sell,291,3.43,0.98954,1.00974,0,0,34300.93,580,9845.1
223,583,2017.01.26 00:01,close,291,3.43,0.98778,1.00974,0,406.05,34706.98,580,10251.15
224,582,2017.01.25 23:40,sell,292,4.73,0.99007,1.01027,0,0,34300.93,581,10251.15
225,584,2017.01.26 00:01,close,292,4.73,0.98792,1.01027,0,697.89,35404.87,581,10949.04
226,591,2017.02.13 01:45,sell,296,3.57,1.00611,1.02631,0,0,35639.64,590,10949.04
227,592,2017.02.13 02:16,close,296,3.57,1.00502,1.02631,0,290.97,35930.61,590,11240.01
228,595,2017.02.15 00:21,sell,298,3.61,1.00283,1.02303,0,0,36061.72,594,11240.01
229,597,2017.02.15 02:44,close,298,3.61,1.00252,1.02303,0,83.68,36145.4,594,11323.69
230,596,2017.02.15 00:24,sell,299,4.96,1.00348,1.02368,0,0,36061.72,595,11323.69
231,598,2017.02.15 02:44,close,299,4.96,1.0025,1.02368,0,363.46,36508.86,595,11687.15
232,599,2017.02.15 22:40,sell,300,3.65,1.00869,1.02889,0,0,36508.86,598,11687.15
233,600,2017.02.15 23:45,close,300,3.65,1.00833,1.02889,0,98.25,36607.11,598,11785.4